first_name,last_name,round,teetime,pos,round1.topar,topar,total,round1.total,hole01,hole02,hole03,hole04,hole05,hole06,hole07,hole08,hole09,hole10,hole11,hole12,hole13,hole14,hole15,hole16,hole17,hole18,round2.topar,round2.total,round3.topar,round3.total,round4.topar,round4.total
Bubba,Watson,3,8:14 AM,T12,NA,-8,280,NA,4,5,3,3,5,3,4,4,4,4,4,2,4,3,4,3,4,4,NA,NA,-3,67,NA,NA
Justin,Thomas,3,8:25 AM,T12,NA,-8,280,NA,3,5,3,3,4,3,4,5,4,4,4,3,5,4,4,3,4,4,NA,NA,-2,69,NA,NA
Matt,Kuchar,3,8:58 AM,T12,NA,-8,280,NA,4,5,3,3,4,2,4,5,4,4,5,4,4,3,4,2,4,4,NA,NA,E,68,NA,NA
Justin,Harding,3,8:58 AM,T12,NA,-8,280,NA,4,4,3,4,5,3,4,5,4,5,4,2,4,5,4,3,3,4,NA,NA,E,70,NA,NA
Ian,Poulter,3,9:09 AM,T12,NA,-8,280,NA,4,5,4,3,4,3,4,4,3,4,5,3,4,4,4,3,4,3,NA,NA,+1,68,NA,NA
Aaron,Wise,3,7:30 AM,17,NA,-7,281,NA,4,4,4,3,4,3,3,5,5,4,4,2,4,3,5,2,4,5,NA,NA,-5,68,NA,NA
Patton,Kizzire,3,7:41 AM,T18,NA,-6,282,NA,4,5,3,4,4,3,5,5,4,5,4,3,6,3,6,2,4,3,NA,NA,-3,73,NA,NA
Phil,Mickelson,3,8:25 AM,T18,NA,-6,282,NA,4,4,3,3,5,3,4,5,4,4,4,2,5,4,5,3,5,3,NA,NA,E,70,NA,NA
Adam,Scott,3,8:36 AM,T18,NA,-6,282,NA,3,5,4,3,5,3,4,5,4,4,4,2,4,4,5,4,4,5,NA,NA,+1,72,NA,NA
Si Woo,Kim,3,7:30 AM,T21,NA,-5,283,NA,4,4,3,5,4,2,5,5,4,4,4,4,4,4,4,3,3,4,NA,NA,-3,70,NA,NA
Kyle,Stanley,3,7:30 AM*,T21,NA,-5,283,NA,4,5,3,3,5,3,3,5,4,4,4,4,4,3,4,4,4,4,NA,NA,-3,70,NA,NA
Matthew,Fitzpatrick,3,7:41 AM,T21,NA,-5,283,NA,4,4,3,3,4,3,5,4,4,4,4,3,4,4,4,3,4,4,NA,NA,-2,68,NA,NA
Kevin,Kisner,3,7:41 AM*,T21,NA,-5,283,NA,4,5,4,3,5,3,4,4,4,6,3,3,4,5,4,3,4,4,NA,NA,-3,72,NA,NA
Rory,McIlroy,3,7:52 AM*,T21,NA,-5,283,NA,4,5,4,2,4,4,5,5,5,3,5,3,4,4,3,2,4,5,NA,NA,-4,71,NA,NA
Jordan,Spieth,3,8:03 AM,T21,NA,-5,283,NA,3,7,3,3,5,3,4,5,4,3,4,2,5,4,4,3,3,4,NA,NA,-1,69,NA,NA
Lucas,Bjerregaard,3,8:14 AM,T21,NA,-5,283,NA,4,4,4,4,6,3,4,4,4,3,4,3,4,4,3,3,4,4,NA,NA,E,69,NA,NA
